INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
274110679.0,3224.8400000000006,268.73666666666674,297.57,Москва,423341.0986979167,61021.9986979167,38738.7,47234.1986979167,2025-05-01,2020-01-01,2024-01-01,131.27507060750816,0,12,0,2024-12-01,АО,-121138.0,12.0,1,2998400.0,33772800.0,420.0,0.005944346583738623,0.0,0.0,2020-01-01,59.00131406044678,95.80000000000001,7.983333333333334,-13.4,-2.68,687.0,57.25,230.0,46.0
608011790.0,146.625,12.21875,12.75,Москва,37157.44345238096,3728.16666666667,3031.025,892.6916666666702,2025-05-01,2020-01-01,2024-01-01,253.41819916372353,0,12,0,2024-12-01,ООО,-5282.0,11.0,2,459000.0,1530000.0,84.0,7.977741244955829e-05,0.0,0.0,2019-11-15,60.545335085413925,95.80000000000001,7.983333333333334,-13.4,-2.68,687.0,57.25,230.0,46.0
725017259.0,249.9,20.825,19.4,Москва,53194.95001627601,5156.07503255208,4191.85833333333,964.2167154947902,2025-05-01,2020-01-01,2024-02-01,212.86494604352143,0,12,0,2025-01-01,ООО,-6929.0,9.0,2,533500.0,2134000.0,88.0,0.00013090734192030558,0.0,0.0,2016-01-22,107.32588699080158,106.0,8.833333333333334,-0.30000000000000004,-0.06000000000000001,681.0,56.75,160.0,32.0
1326254588.0,105.825,15.117857142857144,16.575,Москва,23191.033968098956,5706.18733723958,3532.38333333333,5162.745670572914,2024-03-01,2022-01-01,2023-04-01,219.1451355360166,0,7,1,2024-03-01,ООО,-9893.0,7.0,1,76500.0,1224000.0,96.0,0.0003191096497982332,6.0,-2183.33,2022-01-01,25.952693823915897,81.2,6.766666666666667,-16.7,-3.34,734.0,61.166666666666664,264.0,52.8
1327021963.0,105.825,15.117857142857144,16.575,Москва,23191.033968098956,5706.18733723958,3532.38333333333,5162.745670572914,2024-03-01,2022-01-01,2023-04-01,219.1451355360166,0,7,1,2024-03-01,ООО,-9893.0,7.0,1,76500.0,1224000.0,96.0,0.0003191096497982332,4.0,-2183.33,2022-01-01,25.952693823915897,81.2,6.766666666666667,-16.7,-3.34,734.0,61.166666666666664,264.0,52.8
1327029232.0,226.95000000000002,37.825,43.35,Москва,48915.74645182286,11413.675,8696.133528645816,9783.15,2025-04-01,2020-01-01,2023-07-01,215.53534457732036,0,6,1,2024-06-01,ООО,-5215.0,6.0,1,127500.0,2142000.0,84.0,0.0005819058319850136,4.0,4820.75,2018-11-20,66.36005256241786,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
1327035042.0,113.475,16.210714285714285,17.85,Москва,23781.8529296875,5706.18733723958,3532.37996419271,4891.020670572913,2024-03-01,2022-11-01,2023-03-01,209.57790640834986,0,7,1,2024-02-01,ООО,-6689.0,7.0,1,89250.0,1377000.0,108.0,0.0003472663836039596,4.0,425.33,2022-10-31,15.045992115637318,80.89999999999999,6.741666666666666,-18.299999999999997,-3.6599999999999993,786.0,65.5,255.0,51.0
1328017790.0,119.85000000000001,17.121428571428574,21.675,Москва,25636.59326171875,5706.18733723958,4619.31762695312,4891.020670572913,2024-03-01,2022-11-01,2023-04-01,213.9056592550584,0,7,1,2024-03-01,ООО,-11198.0,7.0,1,76500.0,1224000.0,96.0,0.0003191096497982332,4.0,425.33,2022-10-31,15.99868593955322,81.2,6.766666666666667,-16.7,-3.34,734.0,61.166666666666664,264.0,52.8
1513081504.0,10.2,2.04,2.04,Москва,5373.7498372396,1074.75,1074.7499593099,4.069009992235806e-05,2025-05-01,2024-01-01,2023-06-01,526.8382193372157,0,5,0,2024-05-01,ООО,-1289.0,5.0,1,61200.0,122400.0,12.0,3.7542311740968614e-06,0.0,0.0,2023-12-01,4.993429697766097,82.39999999999999,6.866666666666666,-16.7,-3.34,748.0,62.333333333333336,264.0,52.8
1659144415.0,280.475,140.2375,140.2375,Москва,50811.5833333334,31268.6666666667,25405.7916666667,11725.75,2024-12-01,2024-10-01,2023-12-01,181.16261104673643,0,2,0,2024-11-01,ООО,-60973.0,2.0,1,431500.0,3452000.0,48.0,0.0004235165363719727,0.0,0.0,2024-10-14,0.5913272010512484,93.4,7.783333333333334,-15.8,-3.16,711.0,59.25,254.0,50.8
1840088323.0,324.0,54.0,54.0,Москва,75093.75,15468.75,12375.0,5343.75,2024-04-01,2020-01-01,2023-05-01,231.77083333333334,0,6,1,2024-04-01,ООО,-33412.0,6.0,1,675000.0,2700000.0,20.0,0.000165627845916038,1.0,-1350.0,2019-12-01,52.00394218134034,82.39999999999999,6.866666666666666,-16.7,-3.34,751.0,62.583333333333336,264.0,52.8
2011005220.0,108.10000000000001,9.008333333333335,9.2,Москва,34020.83333333335,3402.08333333333,2721.66666666667,1360.8333333333298,2025-05-01,2023-04-01,2023-04-01,314.7163120567377,0,12,0,2024-03-01,ООО,-13880.0,7.0,1,276000.0,1104000.0,48.0,6.772338588566887e-05,0.0,0.0,2023-04-03,10.939553219448094,81.2,6.766666666666667,-16.7,-3.34,734.0,61.166666666666664,264.0,52.8
2130198323.0,79.04999999999998,6.587499999999999,5.1,Москва,21420.0,4420.0,1360.0,3400.0,2024-03-01,2022-03-01,2023-04-01,270.96774193548396,0,12,0,2024-03-01,ООО,-8976.0,12.0,2,191250.0,765000.0,52.0,4.692788967621076e-05,1.0,5304.0,2022-02-14,24.50722733245729,81.2,6.766666666666667,-16.7,-3.34,734.0,61.166666666666664,264.0,52.8
2308134635.0,91.035,7.58625,7.14,Москва,43655.10618489583,4118.40625,3294.725,823.6813151041702,2024-05-01,2021-02-01,2023-06-01,479.5420023605847,0,12,0,2024-05-01,ООО,-17789.0,11.0,1,214200.0,856800.0,96.0,5.255923643735606e-05,0.0,0.0,2021-02-10,38.633377135348226,82.39999999999999,6.866666666666666,-16.7,-3.34,748.0,62.333333333333336,264.0,52.8
2315227383.0,171.0,17.1,18.0,Москва,30450.0,3190.0,3045.0,290.0,2025-05-01,2023-08-01,2023-06-01,178.0701754385965,0,10,0,2024-05-01,ООО,-6264.0,10.0,1,450000.0,1800000.0,40.0,0.00011041856394402532,0.0,0.0,2023-08-01,9.00131406044678,82.39999999999999,6.866666666666666,-16.7,-3.34,748.0,62.333333333333336,264.0,52.8
2370001556.0,1149.9900000000002,191.66500000000005,227.47500000000002,Москва,195222.91927083326,39295.5013020833,38345.625,34850.83463541663,2024-11-01,2022-12-01,2023-12-01,169.76053641408467,0,6,1,2024-11-01,ООО,-49433.0,6.0,2,2274750.0,9099000.0,28.0,0.000558165840737048,1.0,2279.7,2022-12-19,22.437582128777922,93.4,7.783333333333334,-15.8,-3.16,711.0,59.25,254.0,50.8
2540167061.0,1795.9999999999998,40.81818181818181,28.6,Москва,372202.6708100818,20394.6335530599,6212.76666666667,19142.401410202758,2025-05-01,2020-02-01,2023-08-01,207.2397944376848,0,12,0,2024-07-01,ООО,8919.0,105.0,9,3631200.0,13309400.0,558.0,0.0007791685964710147,7.0,4084.36,2020-02-17,52.43101182654402,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
3000009457.0,188.6,18.86,18.4,Москва,48246.000406901054,5610.0,4488.00008138021,2244.0,2025-05-01,2023-10-01,2023-08-01,255.8112428785846,0,10,0,2024-07-01,ООО,-9418.0,10.0,1,460000.0,1840000.0,40.0,0.0001128723098094481,0.0,0.0,2023-10-10,8.705650459921156,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
3017058220.0,537.85,67.23125,69.4,Москва,127950.7506510417,18560.2506510417,15512.5,4124.500651041701,2025-04-01,2022-12-01,2023-09-01,237.89300111748943,0,8,1,2024-08-01,ООО,-49602.0,8.0,1,694000.0,5552000.0,128.0,0.0006811598522413651,3.0,-4949.4,2022-12-12,19.64520367936925,88.2,7.3500000000000005,-16.7,-3.34,747.0,62.25,264.0,52.8
